TEAM,R64,R32,S16,E8,F4,FINALS
Alabama,96.60%,88.40%,76.40%,56.50%,40.30%,25.40%
Purdue,96.10%,84.20%,68.70%,45.30%,28.00%,11.70%
Kansas,95.30%,82.40%,64.60%,43.20%,21.30%,10.70%
Houston,95.20%,81.80%,59.00%,38.80%,15.00%,8.10%
UCLA,93.70%,80.40%,54.70%,27.30%,13.10%,6.20%
Arizona,93.40%,79.00%,52.40%,19.90%,10.80%,5.60%
Texas,93.00%,74.50%,51.60%,18.60%,10.20%,4.40%
Gonzaga,92.70%,73.20%,49.70%,18.60%,8.50%,4.10%
Marquette,92.40%,71.50%,33.50%,15.80%,7.20%,3.20%
Baylor,90.30%,63.90%,24.90%,14.20%,6.00%,3.10%
Kansas St,90.30%,62.90%,22.60%,9.20%,4.20%,1.60%
Xavier,90.30%,61.60%,19.70%,7.30%,3.40%,1.40%
UConn,85.60%,59.20%,18.40%,7.30%,2.90%,1.20%
TCU,84.40%,55.70%,15.50%,7.00%,2.20%,1.10%
Virginia,84.30%,52.00%,14.00%,7.00%,2.20%,1.00%
Tennessee,83.70%,46.10%,13.40%,5.90%,2.20%,0.80%
Indiana,82.50%,42.00%,12.50%,4.70%,2.00%,0.80%
Duke,81.90%,34.20%,11.10%,4.50%,1.90%,0.80%
Iowa State,77.60%,31.80%,10.80%,4.20%,1.30%,0.60%
Miami,77.10%,26.10%,9.00%,2.80%,0.90%,0.50%
Kentucky,72.30%,25.00%,8.50%,2.70%,0.90%,0.40%
Memphis,72.10%,24.50%,7.60%,2.60%,0.90%,0.40%
San Diego St,69.70%,23.80%,6.60%,2.40%,0.90%,0.40%
Saint Mary's,68.40%,22.00%,6.60%,2.10%,0.80%,0.40%
Creighton,67.90%,15.20%,6.40%,2.00%,0.70%,0.30%
Northwestern,64.70%,14.90%,4.80%,1.70%,0.60%,0.30%
Missouri,64.10%,13.20%,4.50%,1.70%,0.60%,0.30%
Michigan St,61.50%,11.30%,4.50%,1.60%,0.60%,0.30%
Texas A&M,60.30%,10.50%,4.30%,1.50%,0.60%,0.30%
Arkansas,58.10%,9.60%,4.20%,1.40%,0.60%,0.30%
Maryland,54.40%,9.30%,3.60%,1.30%,0.50%,0.30%
Iowa,52.60%,9.30%,3.50%,1.30%,0.50%,0.20%
Auburn,47.40%,8.90%,3.20%,1.10%,0.50%,0.20%
West Virginia,45.60%,8.90%,3.20%,1.10%,0.40%,0.20%
Illinois,41.90%,8.60%,2.70%,1.00%,0.40%,0.20%
Penn State,39.80%,8.20%,2.60%,1.00%,0.40%,0.20%
USC,38.50%,8.20%,2.50%,0.90%,0.40%,0.20%
Utah State,35.90%,7.90%,2.40%,0.90%,0.40%,0.20%
Boise St,35.30%,7.90%,2.40%,0.90%,0.30%,0.20%
NC State,32.10%,7.60%,2.30%,0.70%,0.30%,0.10%
VCU,31.70%,6.20%,1.90%,0.70%,0.30%,0.10%
Charleston,30.30%,6.20%,1.70%,0.70%,0.30%,0.10%
FAU,27.90%,5.70%,1.70%,0.60%,0.30%,0.10%
Providence,27.70%,5.60%,1.60%,0.60%,0.30%,0.10%
Drake,22.90%,5.30%,1.60%,0.60%,0.30%,0.10%
MSST/PITT,22.50%,5.30%,1.50%,0.60%,0.30%,0.10%
Oral Roberts,18.10%,5.10%,1.50%,0.60%,0.30%,0.10%
Kent State,17.50%,5.10%,1.50%,0.60%,0.20%,0.10%
Louisiana,16.30%,4.80%,1.40%,0.50%,0.20%,0.10%
Furman,15.70%,4.30%,1.40%,0.50%,0.20%,0.10%
ASU/NEV,15.60%,3.80%,1.40%,0.50%,0.20%,0.10%
Iona,14.40%,3.60%,1.30%,0.50%,0.20%,0.10%
Kennesaw St,9.70%,3.60%,1.30%,0.50%,0.20%,0.10%
Montana St,9.70%,3.50%,1.20%,0.50%,0.20%,0.10%
UCSB,9.70%,3.30%,1.10%,0.50%,0.20%,0.10%
Vermont,7.60%,3.10%,1.10%,0.50%,0.20%,0.10%
Grand Canyon,7.30%,3.00%,1.10%,0.50%,0.20%,0.10%
Colgate,7.00%,3.00%,1.10%,0.40%,0.20%,0.10%
Princeton,6.70%,3.00%,1.10%,0.40%,0.20%,0.10%
UNC Asheville,6.30%,2.90%,1.10%,0.40%,0.20%,0.10%
N Kentucky,4.80%,2.30%,1.10%,0.40%,0.20%,0.10%
Howard,4.70%,2.20%,1.10%,0.40%,0.20%,0.10%
TXSO/FDU,3.90%,1.80%,0.90%,0.40%,0.20%,0.10%
AMCC/SMO,3.40%,1.60%,0.90%,0.40%,0.20%,0.10%